Entity;Code;Year;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Greece;GRC;1990;5.089132;8.673755;5.937668;6.110674;6.5362716;8.619855;10.348892;9.055209;8.205239;9.6173315;7.7499065;5.5388093;6.6357737;10.172711;10.051021;10.785798;12.747216;7.319407;9.138589;13.361716;18.351341;13.7692175;16.674896;25.140057;24.190666;28.65136;27.366293;25.009062;30.309858;33.14121;36.44103
Grenada;GRD;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greenland;GRL;2000;;;;;;;;;;;40.476192;41.025642;47.368423;54.545452;57.575756;57.142857;51.282055;52.63158;50;61.904762;70.731705;73.91304;77.27273;82.22222;82.97872;82.35294;83.333336;82.608696;80.39216;80;84.745766
Guatemala;GTM;2000;;;;;;;;;;;52.902153;51.457977;45.43974;46.405228;48.813057;48.07229;55.60917;50.77605;59.83413;52.693207;62.953697;63.526573;63.733906;63.952335;64.17213;58.705162;59.468437;69.085175;64.02267;60.101376;67.138596
Guam;GUM;2000;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.8181819;4.0462427;3.409091;4.0462427;3.9548023;4.117647
Guyana;GUY;2000;;;;;;;;;;;6.818182;6.593406;6.593406;6.097561;6.976744;7.692308;7.4626865;7.142857;7.042254;15.277777;15.116279;15.384615;14.736842;14.141414;15.000001;15.384616;13.636364;13.157896;13.793104;13.114754;12.931036
Hong Kong;HKG;1990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.13885033;0.4304161;0.4357932;0.5467626;0.5431503
Honduras;HND;2000;;;;;;;;;;;63.276836;50.4;41.475826;41.609196;33.04721;35.555553;39.372826;40.330578;40.923565;48.11912;51.226994;48.57143;47.39653;46.243526;43.130226;45.580406;50.1046;56.354164;61.654896;51.528778;51.724136
Croatia;HRV;1990;44.356663;64.49361;48.988766;47.7534;62.029644;61.380795;70.45659;57.184753;52.663757;56.54854;57.282413;56.225525;46.02675;41.394997;54.931602;54.05819;51.47059;37.79904;45.6964;56.02996;62.880325;47.016922;49.6695;66.5233;73.95833;66.844444;66.24405;60.39016;72.177124;65.95577;64.57704
Haiti;HTI;2000;;;;;;;;;;;52.830193;49.122807;49.056606;49.019608;49.056606;49.056606;49.09091;33.333336;38.29787;29.411764;30.357143;18.461538;20.952381;14;9.183673;8.163265;6.8627453;13;20;16.666666;11.956522
Hungary;HUN;1990;48.980305;46.528706;44.728535;42.57065;42.541767;41.887123;41.151325;40.22599;38.091396;37.90642;40.97755;39.51126;39.22545;33.2259;38.119255;43.916084;41.701534;41.44144;42.90355;51.01643;50.25422;51.08273;53.235126;60;64.088585;62.892036;60.67274;59.640568;61.07109;61.392223;62.047157
Indonesia;IDN;1990;23.010492;22.204845;26.638683;25.141514;20.873459;19.411617;18.970043;12.157131;17.798302;17.054121;19.99388;20.90438;18.579138;16.883892;16.806925;17.05298;15.350051;16.369028;16.89653;16.451733;19.50876;15.875333;14.8894415;15.766565;14.487201;13.795372;15.367891;16.240925;17.047817;16.261044;18.131039
India;IND;1990;25.319405;24.820948;22.741083;21.344929;22.09698;19.804989;17.847122;17.533396;19.280458;17.925135;16.808134;16.222763;15.112197;14.53779;18.68198;17.770964;19.503513;20.041193;18.60673;17.181797;17.674166;19.907156;18.170246;19.300434;18.758022;18.269842;17.558842;18.509884;19.16807;21.475914;23.060581
Ireland;IRL;1990;4.919185;5.0234427;5.196451;4.7707562;5.585264;4.1453714;4.0190377;4.1137633;5.6486354;5.19063;4.985213;4.180195;5.5555553;4.5856795;5.511499;7.298985;9.111029;9.904829;12.032085;14.730068;13.210227;19.992636;19.351273;22.01799;24.757847;27.971529;24.875952;28.962818;33.00971;38.41146;42.10197
Iran;IRN;1990;12.8020115;8.926354;13.700914;14.103046;8.51316;9.866869;9.821708;6.1258154;7.313571;4.70351;3.2006702;3.2526062;5.8163934;6.3435545;7.360531;8.200147;9.636561;8.910989;3.629626;3.1333122;4.4254923;4.677618;5.7286434;7.386233;6.827994;6.034114;7.713277;8.067634;5.6731224;13.020164;9.2847395
Iraq;IRQ;1990;16.389647;16.057545;23.818045;22.745764;23.432074;26.86892;24.977062;24.755814;23.174026;14.396939;2.0319786;2.0098846;1.6012559;1.6129032;1.6129032;20.567867;18.810339;18.01459;9.913794;7.415156;10.214239;6.608969;10.0046;8.621627;4.632238;3.984556;4.505698;2.6859505;2.6230297;5.987218;5.776567
Iceland;ISL;1990;99.77827;99.77729;99.78021;99.999985;100.000015;99.79919;100;100;100;100;100;100;99.88023;99.88152;99.88304;99.88399;99.89859;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Israel;ISR;1990;0.014355716;0.02788869;0.11747454;0.10000116;0.08122702;0.08213687;0.0736888;0.071202755;0.06583036;0.084124655;0.07481297;0.04840271;0.07014262;0.090456806;0.08998875;0.08754651;0.04208754;0.05933544;0.07493443;0.12787724;0.23911187;0.43624163;0.69830185;0.94554937;1.5773907;1.9458282;2.521259;2.647929;2.6862204;4.0435023;5.3903084
Italy;ITA;1990;16.373446;20.84421;20.582811;20.611694;21.120598;17.493671;19.334867;18.790936;18.376627;19.84532;18.900242;20.049433;17.455557;16.420212;18.274939;16.376978;16.512863;15.533349;18.6112;24.083735;25.84002;27.67732;31.104963;39.014874;43.497692;38.757786;37.607937;35.41745;39.810013;39.756306;42.039772
Jamaica;JAM;2000;;;;;;;;;;;7.3954988;6.5495205;7.04441;7.4294205;7.9528723;8.440629;8.534851;9.269162;10.75;10.344828;10.353536;11.221945;11.959288;10.941476;11.764706;11.764706;12.106537;14.634148;16.546762;15.294118;15.724815
Jordan;JOR;2000;;;;;;;;;;;0.7204611;0.7052186;0.78431374;0.6648936;0.7117438;0.7709251;0.6698565;0.7358954;0.69177556;0.5965697;0.5759539;0.50835145;0.5128205;0.431566;0.46565774;1.6183035;5.016181;7.5587335;11.52648;15.542974;21.556887
Japan;JPN;1990;33.21695;34.539707;33.69831;37.99391;34.15082;37.592678;37.770123;40.207253;40.70877;38.71299;41.49231;41.767937;38.66364;35.06225;38.127705;37.537926;39.0951;34.293114;34.002705;37.38577;36.249386;25.776997;12.059049;12.809407;13.271962;15.981131;17.171658;20.106245;22.869198;25.860157;25.666662
Kazakhstan;KAZ;1990;8.429944;9.000078;8.813743;10.367779;14.314912;12.602151;12.62939;13.075998;12.508811;12.96406;14.581719;14.590104;15.240871;13.498278;12.0388365;11.572438;10.842869;10.663012;9.284381;8.738727;9.703569;9.101409;8.43081;8.34683;8.738378;10.310966;12.659833;11.28782;10.170598;10.415101;10.990427
Kenya;KEN;2000;;;;;;;;;;;50.123455;66.95652;76.8421;80.588234;73.3945;71.20953;70.88607;71.319016;65.31249;58.447487;70.63712;68.33773;74.907295;70.31071;80.04779;85.51165;85.24252;78.59813;87.022224;89.12098;92.17021
